#entity id	document	start	end	text	comment
species:ncbi:4565	pmcA1312363	1508	1513	wheat	4
species:ncbi:4565	pmcA1312363	1568	1573	wheat	4
species:ncbi:4113	pmcA1312363	1615	1621	potato	4
species:ncbi:3702	pmcA1312363	2414	2434	Arabidopsis thaliana	
species:ncbi:3702	pmcA1312363	3322	3332	A.thaliana	4
species:ncbi:4558	pmcA1312363	3347	3362	Sorghum bicolor	4
species:ncbi:4577	pmcA1312363	3415	3420	maize	4
species:ncbi:4113	pmcA1312363	3738	3755	Solanum tuberosum	4
species:ncbi:4565	pmcA1312363	3797	3802	wheat	4
species:ncbi:4565	pmcA1312363	4315	4320	wheat	4
species:ncbi:4113	pmcA1312363	4507	4518	S.tuberosum	4
species:ncbi:4565	pmcA1312363	4547	4552	wheat	4
species:ncbi:4113	pmcA1312363	4603	4609	potato	4
species:ncbi:4113	pmcA1312363	4890	4901	S.tuberosum	
species:ncbi:4113	pmcA1312363	4937	4943	potato	4
species:ncbi:4565	pmcA1312363	4996	5001	wheat	4
species:ncbi:4113	pmcA1312363	5180	5186	potato	4
species:ncbi:4113	pmcA1312363	5351	5357	potato	4
species:ncbi:4565	pmcA1312363	5565	5570	wheat	4
species:ncbi:4113	pmcA1312363	5752	5763	S.tuberosum	
species:ncbi:4570	pmcA1312363	6032	6051	Triticum timopheevi	4
species:ncbi:4113	pmcA1312363	6162	6173	S.tuberosum	4
species:ncbi:4113	pmcA1312363	6267	6278	S.tuberosum	4
species:ncbi:4565	pmcA1312363	6404	6409	wheat	4
species:ncbi:4113	pmcA1312363	6614	6620	potato	4
species:ncbi:4565	pmcA1312363	6698	6703	wheat	4
species:ncbi:4113	pmcA1312363	6704	6710	potato	4
species:ncbi:4565	pmcA1312363	6815	6820	wheat	4
species:ncbi:4565	pmcA1312363	6910	6915	wheat	4
species:ncbi:4113	pmcA1312363	6920	6926	potato	4
species:ncbi:4113	pmcA1312363	7147	7158	S.tuberosum	4
species:ncbi:4565	pmcA1312363	7469	7474	wheat	4
species:ncbi:4565	pmcA1312363	8808	8813	wheat	4
species:ncbi:4113	pmcA1312363	9227	9238	S.tuberosum	4
species:ncbi:0	pmcA1312363	9263	9284	T.aestivum var Fortal	4
species:ncbi:4113	pmcA1312363	9302	9308	Potato	4
species:ncbi:4565	pmcA1312363	10086	10091	wheat	4
species:ncbi:4565	pmcA1312363	10202	10207	wheat	4
species:ncbi:4113	pmcA1312363	10218	10224	potato	4
species:ncbi:4113	pmcA1312363	10529	10535	potato	4
species:ncbi:4932	pmcA1312363	11422	11427	yeast	
species:ncbi:4113	pmcA1312363	12363	12374	S.tuberosum	4
species:ncbi:4565	pmcA1312363	12414	12419	wheat	4
species:ncbi:4113	pmcA1312363	12437	12448	S.tuberosum	4
species:ncbi:4565	pmcA1312363	12484	12489	wheat	4
species:ncbi:4565	pmcA1312363	12547	12552	wheat	4
species:ncbi:4113	pmcA1312363	12895	12901	potato	
species:ncbi:4113	pmcA1312363	13550	13556	potato	4
species:ncbi:4565	pmcA1312363	13646	13651	wheat	4
species:ncbi:4565	pmcA1312363	13723	13728	wheat	4
species:ncbi:4113	pmcA1312363	13860	13866	potato	4
species:ncbi:4113	pmcA1312363	13942	13948	potato	
species:ncbi:4565	pmcA1312363	13953	13958	wheat	
species:ncbi:4565	pmcA1312363	14001	14006	wheat	4
species:ncbi:4113	pmcA1312363	14620	14631	S.tuberosum	4
species:ncbi:4113	pmcA1312363	14745	14756	S.tuberosum	4
species:ncbi:4565	pmcA1312363	14780	14785	wheat	4
species:ncbi:4565	pmcA1312363	14949	14954	wheat	4
species:ncbi:4113	pmcA1312363	15053	15064	S.tuberosum	4
species:ncbi:4113	pmcA1312363	15118	15124	potato	4
species:ncbi:4113	pmcA1312363	15315	15321	Potato	4
species:ncbi:4113	pmcA1312363	15469	15480	S.tuberosum	4
species:ncbi:4565	pmcA1312363	15517	15522	wheat	4
species:ncbi:4113	pmcA1312363	15681	15687	potato	4
species:ncbi:4565	pmcA1312363	15719	15729	T.aestivum	
species:ncbi:4113	pmcA1312363	15733	15744	S.tuberosum	4
species:ncbi:4565	pmcA1312363	15807	15812	wheat	4
species:ncbi:4113	pmcA1312363	15816	15822	potato	4
species:ncbi:4113	pmcA1312363	15882	15888	potato	4
species:ncbi:4565	pmcA1312363	15946	15951	wheat	4
species:ncbi:4113	pmcA1312363	16037	16043	potato	4
species:ncbi:4113	pmcA1312363	16187	16193	potato	4
species:ncbi:4113	pmcA1312363	16232	16238	potato	4
species:ncbi:4113	pmcA1312363	16266	16272	potato	4
species:ncbi:4113	pmcA1312363	16307	16318	S.tuberosum	4
species:ncbi:4565	pmcA1312363	17008	17013	wheat	4
species:ncbi:4565	pmcA1312363	17090	17095	wheat	4
species:ncbi:4113	pmcA1312363	17173	17179	potato	4
species:ncbi:4565	pmcA1312363	17234	17239	wheat	4
species:ncbi:4113	pmcA1312363	17250	17256	potato	4
species:ncbi:4565	pmcA1312363	17405	17410	wheat	4
species:ncbi:4565	pmcA1312363	17482	17487	wheat	4
species:ncbi:4565	pmcA1312363	17576	17581	wheat	4
species:ncbi:4565	pmcA1312363	17651	17656	wheat	4
species:ncbi:4113	pmcA1312363	17759	17765	potato	4
species:ncbi:4113	pmcA1312363	18184	18195	S.tuberosum	4
species:ncbi:4113	pmcA1312363	18295	18301	potato	4
species:ncbi:4565	pmcA1312363	18561	18566	wheat	4
species:ncbi:4113	pmcA1312363	18597	18603	potato	4
species:ncbi:4565	pmcA1312363	19776	19781	wheat	4
species:ncbi:4113	pmcA1312363	19812	19818	potato	4
species:ncbi:4113	pmcA1312363	19910	19916	potato	4
species:ncbi:4113	pmcA1312363	20188	20199	S.tuberosum	4
species:ncbi:4113	pmcA1312363	20214	20220	Potato	4
species:ncbi:4565	pmcA1312363	20321	20326	wheat	4
species:ncbi:4565	pmcA1312363	20423	20428	wheat	4
species:ncbi:4113	pmcA1312363	20447	20453	potato	4
species:ncbi:4113	pmcA1312363	20805	20811	potato	4
species:ncbi:4565	pmcA1312363	21043	21048	wheat	4
species:ncbi:4113	pmcA1312363	21057	21063	potato	4
species:ncbi:4113	pmcA1312363	21191	21197	potato	4
species:ncbi:4565	pmcA1312363	21202	21207	wheat	4
species:ncbi:4565	pmcA1312363	21491	21496	wheat	4
species:ncbi:4113	pmcA1312363	21548	21554	potato	4
species:ncbi:4565	pmcA1312363	21782	21787	wheat	4
species:ncbi:4113	pmcA1312363	21792	21798	potato	4
species:ncbi:3702	pmcA1312363	21836	21846	A.thaliana	4
species:ncbi:4577	pmcA1312363	21903	21908	maize	4
species:ncbi:3702	pmcA1312363	21943	21954	Arabidopsis	4|2
species:ncbi:4577	pmcA1312363	21985	21990	maize	4
species:ncbi:3702	pmcA1312363	22126	22136	A.thaliana	4
species:ncbi:4113	pmcA1312363	22280	22286	potato	4
species:ncbi:3702	pmcA1312363	22627	22638	Arabidopsis	2
species:ncbi:4113	pmcA1312363	22640	22646	potato	
species:ncbi:3888	pmcA1312363	22684	22687	pea	
species:ncbi:4113	pmcA1312363	22973	22979	potato	4
species:ncbi:4565	pmcA1312363	23007	23017	T.aestivum	
species:ncbi:4565	pmcA1312363	23081	23086	wheat	4
species:ncbi:4565	pmcA1312363	23296	23301	wheat	4
species:ncbi:4113	pmcA1312363	23959	23970	S.tuberosum	4
species:ncbi:4932	pmcA1312363	24271	24276	yeast	4
species:ncbi:4565	pmcA1312363	24704	24709	wheat	4
species:ncbi:4113	pmcA1312363	25035	25041	potato	4
species:ncbi:4565	pmcA1312363	25239	25244	wheat	4
species:ncbi:4113	pmcA1312363	25286	25292	potato	4
species:ncbi:4113	pmcA1312363	25312	25318	potato	4
species:ncbi:4113	pmcA1312363	25411	25417	potato	4
species:ncbi:4565	pmcA1312363	25422	25427	wheat	4
species:ncbi:4530	pmcA1312363	25727	25731	rice	
species:ncbi:4558	pmcA1312363	25967	25976	S.bicolor	
species:ncbi:4577	pmcA1312363	26041	26046	maize	4
species:ncbi:4558	pmcA1312363	26119	26126	sorghum	
species:ncbi:4577	pmcA1312363	26127	26132	maize	4
species:ncbi:4577	pmcA1312363	26182	26187	maize	4
species:ncbi:4565	pmcA1312363	26509	26514	wheat	4
species:ncbi:4565	pmcA1312363	26623	26628	wheat	4
species:ncbi:4565	pmcA1312363	27116	27121	wheat	4
species:ncbi:4565	pmcA1312363	27600	27605	wheat	4
species:ncbi:4113	pmcA1312363	27717	27723	potato	4
species:ncbi:4565	pmcA1312363	28015	28020	wheat	4
species:ncbi:4565	pmcA1312363	28098	28103	wheat	4
species:ncbi:4565	pmcA1312363	28315	28320	wheat	4
species:ncbi:4565	pmcA1312363	28621	28626	wheat	4
species:ncbi:4113	pmcA1312363	28695	28701	potato	4
species:ncbi:4113	pmcA1312363	28791	28797	potato	4
species:ncbi:4565	pmcA1312363	29060	29065	wheat	4
species:ncbi:4565	pmcA1312363	29698	29703	wheat	4
species:ncbi:4565	pmcA1312363	29783	29788	wheat	4
species:ncbi:9606	pmcA1347483	303	309	humans	
species:ncbi:9606	pmcA1347483	3656	3662	humans	
species:ncbi:9606	pmcA1347483	9371	9376	human	4
species:ncbi:9606	pmcA1347483	10453	10458	human	4
species:ncbi:9606	pmcA140144	7129	7134	Human	4
species:ncbi:9606	pmcA140144	7399	7404	human	
species:ncbi:9606	pmcA140144	17789	17795	humans	
species:ncbi:4932	pmcA140510	8	13	yeast	4
species:ncbi:4932	pmcA140510	150	174	Saccharomyces cerevisiae	4
species:ncbi:4932	pmcA140510	1100	1105	yeast	
species:ncbi:4932	pmcA140510	1106	1130	Saccharomyces cerevisiae	
species:ncbi:4932	pmcA140510	2695	2700	yeast	4
species:ncbi:4932	pmcA140510	3868	3873	yeast	4
species:ncbi:9606	pmcA140510	3964	3969	human	4
species:ncbi:9606	pmcA140510	4491	4496	human	4
species:ncbi:4932	pmcA140510	4516	4521	yeast	
species:ncbi:4932	pmcA140510	4651	4656	Yeast	
species:ncbi:4932	pmcA140510	4679	4691	S.cerevisiae	
species:ncbi:4896	pmcA140510	5043	5068	Schizosaccharomyces pombe	4
species:ncbi:9606	pmcA140510	6233	6238	human	4
species:ncbi:9606	pmcA140510	6972	6977	human	4
species:ncbi:4932	pmcA140510	6989	6994	yeast	4
species:ncbi:9606	pmcA140510	7025	7030	human	4
species:ncbi:9606	pmcA140510	7243	7248	human	4
species:ncbi:10090	pmcA140510	9547	9552	mouse	4
species:ncbi:9793	pmcA140510	9673	9679	donkey	4
species:ncbi:10090	pmcA140510	9685	9690	mouse	4
species:ncbi:10090	pmcA140510	13307	13312	mouse	4
species:ncbi:4932	pmcA140510	13563	13568	yeast	4
species:ncbi:1280	pmcA140510	21232	21253	Staphylococcus aureus	4
species:ncbi:9606	pmcA140510	24299	24304	human	
species:ncbi:7227	pmcA140510	24306	24316	Drosophila	2
species:ncbi:6239	pmcA140510	24321	24343	Caenorhabditis elegans	
species:ncbi:9606	pmcA140510	24392	24397	human	4
species:ncbi:4932	pmcA140510	24523	24528	yeast	
species:ncbi:9606	pmcA140510	24569	24574	human	4
species:ncbi:9606	pmcA140510	24768	24773	human	4
species:ncbi:9606	pmcA140510	24836	24841	human	4
species:ncbi:9606	pmcA140510	24882	24887	human	4
species:ncbi:9606	pmcA140510	24931	24936	human	4
species:ncbi:9606	pmcA140510	25073	25078	human	4
species:ncbi:9606	pmcA140510	25113	25118	human	4
species:ncbi:4896	pmcA140510	25217	25224	S.pombe	
species:ncbi:3702	pmcA140510	25226	25246	Arabidopsis thaliana	
species:ncbi:6239	pmcA140510	25248	25257	C.elegans	
species:ncbi:7227	pmcA140510	25259	25282	Drosophila melanogaster	
species:ncbi:10090	pmcA140510	25287	25292	mouse	
species:ncbi:9606	pmcA140510	25625	25630	human	4
species:ncbi:4932	pmcA140510	25672	25677	yeast	
species:ncbi:9606	pmcA140510	25764	25769	human	4
species:ncbi:4932	pmcA140510	25804	25809	yeast	4
species:ncbi:9606	pmcA140510	25871	25876	human	4
species:ncbi:4932	pmcA140510	25990	25995	yeast	4
species:ncbi:4932	pmcA140510	27830	27835	yeast	4
species:ncbi:4932	pmcA140510	28449	28454	yeast	4
species:ncbi:9606	pmcA140510	29633	29638	human	4
species:ncbi:9606	pmcA140510	29813	29818	human	4
species:ncbi:9606	pmcA140510	29969	29974	human	4
species:ncbi:4932	pmcA140510	30012	30017	yeast	4
species:ncbi:9606	pmcA140510	30344	30349	human	4
species:ncbi:9913	pmcA147033	3361	3367	bovine	4
species:ncbi:9606	pmcA147033	3922	3927	human	4
species:ncbi:9606	pmcA147033	4270	4275	human	4
species:ncbi:10090	pmcA147033	9665	9670	mouse	4
species:ncbi:9606	pmcA147033	9713	9718	human	4
species:ncbi:9606	pmcA147033	9765	9770	human	4
species:ncbi:9606	pmcA147033	9815	9820	human	4
species:ncbi:9913	pmcA147033	9897	9903	bovine	4
species:ncbi:9606	pmcA147033	10116	10121	human	4
species:ncbi:9606	pmcA147033	11705	11710	human	4
species:ncbi:9606	pmcA147033	11735	11740	human	4
species:ncbi:9606	pmcA147033	11749	11754	human	4
species:ncbi:9606	pmcA147033	11785	11790	human	4
species:ncbi:9606	pmcA147033	12708	12713	human	4
species:ncbi:9606	pmcA147033	13228	13233	human	4
species:ncbi:9606	pmcA147033	15232	15237	human	4
species:ncbi:9606	pmcA147033	15314	15319	human	4
species:ncbi:9606	pmcA147033	15424	15429	human	4
species:ncbi:9606	pmcA147033	15891	15896	human	4
species:ncbi:9606	pmcA147033	16449	16454	human	4
species:ncbi:9913	pmcA147033	16783	16789	bovine	4
species:ncbi:9913	pmcA147033	16860	16866	bovine	4
species:ncbi:9913	pmcA147033	16879	16885	bovine	4
species:ncbi:9913	pmcA147033	16904	16910	bovine	4
species:ncbi:9606	pmcA147033	17033	17038	human	4
species:ncbi:9606	pmcA147033	17505	17510	human	4
species:ncbi:9606	pmcA147033	17601	17606	human	4
species:ncbi:9606	pmcA147033	18441	18446	human	4
species:ncbi:9606	pmcA147033	18612	18617	human	4
species:ncbi:1117	pmcA1474674	47	61	cyanobacterial	4
species:ncbi:1117	pmcA1474674	7750	7764	CYANOBACTERIAL	20|4
species:ncbi:0	pmcA1474674	7819	7845	Synechococcus strain Tx-20	
species:ncbi:9606	pmcA1474674	9796	9801	Human	4
species:ncbi:9606	pmcA1474674	12433	12438	Human	
species:ncbi:1117	pmcA1474674	12812	12826	CYANOBACTERIAL	20|4
species:ncbi:1117	pmcA1474674	14019	14033	cyanobacterial	4
species:ncbi:0	pmcA1474674	14179	14198	Synechococcus TX-20	4
species:ncbi:6760	pmcA1474674	14964	14968	crab	4
species:ncbi:6760	pmcA1474674	14970	14976	Scylla	4
species:ncbi:9606	pmcA1474674	14979	14984	human	4
species:ncbi:5141	pmcA1474674	14989	15006	Neurospora crassa	4
species:ncbi:10090	pmcA1474674	16847	16851	mice	
species:ncbi:8019	pmcA1474674	16963	16974	Coho salmon	
species:ncbi:6761	pmcA1474674	17370	17384	Scylla serrata	
species:ncbi:4932	pmcA150219	201	206	yeast	
species:ncbi:4932	pmcA150219	1516	1540	Saccharomyces cerevisiae	
species:ncbi:4932	pmcA150219	1762	1767	yeast	4
species:ncbi:4932	pmcA150219	2335	2340	yeast	
species:ncbi:4932	pmcA150219	2519	2531	S.cerevisiae	
species:ncbi:9031	pmcA150219	3636	3643	chicken	4
species:ncbi:4932	pmcA150219	3919	3931	S.cerevisiae	
species:ncbi:4932	pmcA150219	4211	4216	yeast	
species:ncbi:4932	pmcA150219	5774	5779	yeast	
species:ncbi:469008	pmcA150219	9204	9231	Escherichia coli BL21 (DE3)	
species:ncbi:4932	pmcA150219	9945	9950	yeast	
species:ncbi:8015	pmcA150219	9967	9973	salmon	4
species:ncbi:562	pmcA150219	9998	10004	E.coli	4
species:ncbi:4932	pmcA150219	10307	10312	yeast	
species:ncbi:4932	pmcA150219	11678	11683	yeast	
species:ncbi:7215	pmcA150219	19514	19524	Drosophila	4
species:ncbi:9031	pmcA150219	19528	19535	chicken	4
species:ncbi:33169	pmcA150219	19633	19648	Ashbya gossypii	
species:ncbi:4932	pmcA150219	27350	27355	yeast	4
species:ncbi:9031	pmcA150219	30141	30148	chicken	4
species:ncbi:7215	pmcA150219	30225	30235	Drosophila	4
species:ncbi:4932	pmcA150219	30452	30457	yeast	
species:ncbi:9031	pmcA150219	31309	31316	chicken	4
species:ncbi:10090	pmcA1521150	105	109	mice	
species:ncbi:10090	pmcA1521150	264	268	mice	
species:ncbi:10090	pmcA1521150	991	995	Mice	
species:ncbi:10090	pmcA1521150	1221	1225	mice	
species:ncbi:10116	pmcA1521150	2492	2495	rat	4
species:ncbi:10090	pmcA1521150	2684	2688	mice	
species:ncbi:10090	pmcA1521150	2995	2999	mice	
species:ncbi:10090	pmcA1521150	3459	3463	mice	
species:ncbi:10090	pmcA1521150	6118	6122	mice	
species:ncbi:10090	pmcA1521150	6250	6254	mice	
species:ncbi:10090	pmcA1521150	6463	6467	mice	
species:ncbi:10090	pmcA1521150	6939	6943	mice	
species:ncbi:10090	pmcA1521150	7263	7267	mice	
species:ncbi:10090	pmcA1521150	7435	7439	mice	
species:ncbi:10090	pmcA1521150	9614	9618	mice	
